iter	Logloss
0	0.6566171866
1	0.6208283924
2	0.590606722
3	0.5657029628
4	0.5460757994
5	0.527056021
6	0.5117123416
7	0.498092273
8	0.4860468012
9	0.4765237243
10	0.4673911571
11	0.4594294539
12	0.4526403388
13	0.4449523847
14	0.439451616
15	0.4352101818
16	0.4299253451
17	0.4266198027
18	0.4228302014
19	0.4187194676
20	0.4153880433
21	0.4119655557
22	0.4094792331
23	0.4066694037
24	0.404046969
25	0.4014414356
26	0.3997499772
27	0.397773982
28	0.3956125037
29	0.3939990767
30	0.3922730089
31	0.3907692848
32	0.3896291753
33	0.3886559921
34	0.3873873604
35	0.3863752596
36	0.3850649593
37	0.3838299857
38	0.3828837588
39	0.3818000175
40	0.3810241943
41	0.3797685213
42	0.379018247
43	0.3779689944
44	0.3770737793
45	0.3764857408
46	0.375817406
47	0.375134594
48	0.3738634804
49	0.3732169724
50	0.3727462491
51	0.3721730113
52	0.3717132757
53	0.3712975581
54	0.3707997788
55	0.370364687
56	0.3698379044
57	0.3691131003
58	0.3686802983
59	0.3679649164
60	0.367559464
61	0.3670745829
62	0.3663284795
63	0.3658409656
64	0.3655364731
65	0.3649545322
66	0.3644892865
67	0.3636614837
68	0.363369789
69	0.3630452702
70	0.3626992817
71	0.3622472415
72	0.3618006268
73	0.3615289943
74	0.3611656867
75	0.3608294514
76	0.3601101792
77	0.3598143893
78	0.3595651219
79	0.3591804757
80	0.3589826322
81	0.3588041577
82	0.3584615143
83	0.3582557291
84	0.3577538159
85	0.3574966552
86	0.3570912842
87	0.3566404603
88	0.3563783254
89	0.3561807549
90	0.3558920074
91	0.3557072071
92	0.3554615807
93	0.3552740939
94	0.3550164881
95	0.3547896856
96	0.3542906514
97	0.3541087905
98	0.3539543138
99	0.3537313073
100	0.3535293036
101	0.3533698782
102	0.3532369973
103	0.3530791826
104	0.3521092927
105	0.3518187406
106	0.3514437096
107	0.3512860695
108	0.3505784887
109	0.3503913152
110	0.3502714608
111	0.3501421354
112	0.3500340441
113	0.349893877
114	0.3496064158
115	0.3494978234
116	0.3491945056
117	0.3490467646
118	0.3486955628
119	0.3484479611
120	0.3482604749
121	0.3481084343
122	0.3479497568
123	0.3477856495
124	0.3476634559
125	0.347539144
126	0.3473602614
127	0.3472040177
128	0.3470314541
129	0.3468668868
130	0.3467256365
131	0.3465403846
132	0.3462243829
133	0.3461245764
134	0.3459750755
135	0.3455914039
136	0.3451192913
137	0.3450179453
138	0.3448641365
139	0.3447425148
140	0.3446657849
141	0.3444751703
142	0.3442596504
143	0.3441760849
144	0.3440695764
145	0.3438713515
146	0.343451711
147	0.34331233
148	0.3431922546
149	0.3430955159
150	0.3429806764
151	0.3428969181
152	0.3427389523
153	0.3426077578
154	0.342551023
155	0.3424172323
156	0.3422410519
157	0.3421523658
158	0.341864147
159	0.3417444315
160	0.3416278939
161	0.3414877677
162	0.3413827418
163	0.3408389891
164	0.3407186864
165	0.3406026548
166	0.3405028663
167	0.3403981682
168	0.3402798337
169	0.3400578474
170	0.3399953779
171	0.3399355778
172	0.3398367619
173	0.339682847
174	0.3394477916
175	0.3393275759
176	0.3391098305
177	0.338876003
178	0.3387720566
179	0.3387131697
180	0.3385037117
181	0.3384281916
