iter	Logloss
182	0.338185453
183	0.3380692506
184	0.3379539098
185	0.3378648104
186	0.3377109759
187	0.3376062355
188	0.3375215838
189	0.3373976438
190	0.3373078382
191	0.3372020121
192	0.3371473651
193	0.3370769746
194	0.3369524702
195	0.3369044032
196	0.3367934465
197	0.3366853727
198	0.3365813096
199	0.3363916554
200	0.3362686009
201	0.3361636253
202	0.3360393455
203	0.3359035743
204	0.3357675335
205	0.3356431163
206	0.3355150728
207	0.3354342951
208	0.3353400372
209	0.3352503346
210	0.3351638789
211	0.3349964488
212	0.3348903166
213	0.3347940476
214	0.3347349985
215	0.3346771969
216	0.3345918775
217	0.3344650068
218	0.3343819001
219	0.3342312079
220	0.3339980716
221	0.3338894086
222	0.3337749365
223	0.333668904
224	0.3335964007
225	0.3330832326
226	0.3329821443
227	0.3328441988
228	0.3327379102
229	0.3326315155
230	0.3321979699
231	0.3320492921
232	0.3319479013
233	0.3318727975
234	0.3317227513
235	0.3316152456
236	0.331549646
237	0.3313507971
238	0.3312949552
239	0.3312004902
240	0.3310688173
241	0.3310154413
242	0.3309071084
243	0.3307925918
244	0.330713468
245	0.3305904359
246	0.3304972944
247	0.3303387438
248	0.3301604515
249	0.3300799126
250	0.3299520821
251	0.3298617846
252	0.3297721386
253	0.3296880832
254	0.329599777
255	0.329482383
256	0.3293528124
257	0.3292653868
258	0.3290998037
259	0.328953086
260	0.3287991771
261	0.3287101094
262	0.328576099
263	0.3283264266
264	0.3282336669
265	0.3281346121
266	0.3279530573
267	0.3278631741
268	0.327511613
269	0.3274186822
270	0.3273353079
271	0.3271073861
272	0.3270014632
273	0.3269264524
274	0.3268452501
275	0.3267670911
276	0.3266640233
277	0.3265607985
278	0.3264483494
279	0.3263923753
280	0.3263022407
281	0.3262400018
282	0.3261432781
283	0.3260553516
284	0.3259463143
285	0.3258666794
286	0.325809
287	0.325656821
288	0.3255424132
289	0.3254454105
290	0.3253161325
291	0.3250082824
292	0.3249207518
293	0.3248292488
294	0.3247247446
295	0.3243174639
296	0.3242693992
297	0.3241938047
298	0.3241153143
299	0.3240411891
300	0.3239436162
301	0.323847785
302	0.3237964799
303	0.3236890316
304	0.3235624953
305	0.323478391
306	0.3234067759
307	0.3233364306
308	0.3232496772
309	0.3231488703
310	0.3230070733
311	0.3229617734
312	0.322876993
313	0.322795147
314	0.3224221922
315	0.3223436367
316	0.3222669618
317	0.3221697978
318	0.3220656235
319	0.3220010836
320	0.3214829512
321	0.321364934
322	0.3212839659
323	0.3212314031
324	0.321101875
325	0.3210163005
326	0.32092682
327	0.3208011343
328	0.3205174082
329	0.3204316559
330	0.3203807186
331	0.3202851886
332	0.320207915
333	0.3201490312
334	0.3200595956
335	0.3199363575
336	0.3198223285
337	0.3197251621
338	0.3196562831
339	0.3195776555
340	0.3191512171
341	0.3190657737
342	0.3190051787
343	0.3189039306
344	0.3188451964
345	0.3187474553
346	0.3186615969
347	0.3185696663
348	0.3184648463
349	0.3183778784
350	0.3182799958
351	0.318250857
352	0.318170457
353	0.3180931274
354	0.3180009661
355	0.3179024614
356	0.3177891737
357	0.3177126374
358	0.3176461206
359	0.3175555783
360	0.3174888256
361	0.3170024435
362	0.3169228406
363	0.3168309777
364	0.3167444284
365	0.3166235721
366	0.3165304804
367	0.3164806334
368	0.3164117609
369	0.3163218427
370	0.3162678974
371	0.3159279156
372	0.3158280823
373	0.315726326
374	0.3156162587
375	0.31554314
376	0.315373835
377	0.3152989816
378	0.314950441
379	0.3148867751
380	0.3148214805
381	0.3147728866
382	0.3147240823
383	0.3146440363
384	0.3145292779
385	0.3144512933
386	0.3143720405
387	0.3142275782
388	0.3141076729
389	0.3140625822
390	0.3139884185
391	0.3138816695
392	0.3136858371
393	0.3135751598
394	0.3135209186
395	0.313462971
396	0.3134096595
397	0.3133485526
398	0.313308897
399	0.313260178
400	0.3131886015
401	0.3131473681
402	0.3130902617
403	0.3130044358
404	0.3129423214
405	0.3128960695
406	0.3128248257
407	0.3125287672
408	0.3124822294
409	0.3124061593
410	0.312335446
411	0.3122879101
412	0.3121941884
413	0.312114478
414	0.3120124083
415	0.3119659552
416	0.3119275565
417	0.3118510795
418	0.3117582037
419	0.3116808166
420	0.3116159346
421	0.3115340523
422	0.3114700744
423	0.311395093
424	0.3113110112
425	0.3112491693
426	0.3111717019
427	0.3110762558
428	0.3109807792
429	0.3109215171
430	0.3108395199
431	0.3107712901
432	0.3107029736
433	0.310637707
434	0.310573973
435	0.3102382944
436	0.3099282356
437	0.3098537243
438	0.3097508036
439	0.3096881117
440	0.3096266203
441	0.3095661109
442	0.3095145137
443	0.3094301215
444	0.3093484691
445	0.3092613311
446	0.309185012
447	0.3091427859
448	0.3088386874
449	0.3087731726
450	0.3087133296
451	0.3086359492
452	0.308571181
453	0.3084870452
454	0.3084329258
455	0.3083237085
456	0.308252208
457	0.3082268601
458	0.3079736163
459	0.3078839089
460	0.3078026279
461	0.307769466
462	0.3077005572
463	0.3076586492
464	0.307567945
465	0.3075117686
466	0.3074698204
467	0.3074203427
468	0.3073522367
469	0.307306647
470	0.3071001505
471	0.3070118759
472	0.3069118852
473	0.3068193787
474	0.3067426655
475	0.3065836652
476	0.3065255966
477	0.3064269111
478	0.3063406613
479	0.3062793851
480	0.3062103709
481	0.3061542002
482	0.3061042535
483	0.3060647336
484	0.3059885592
485	0.3059349354
486	0.3058922453
487	0.3058379145
488	0.3057812977
489	0.3056755086
490	0.3056233472
491	0.3055691922
492	0.3054995322
493	0.3054198602
494	0.3053620246
495	0.3053112831
496	0.3052438802
497	0.3051486324
498	0.305084096
499	0.3049560291
